row_number,trigger_phrase,suggested_status,when_not_to_use,correction_source
210,please call me 10 15,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
211,busy later call you,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
212,will cb 2h later,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
213,bangladesh speaker,Call Again,[skip:negation][skip:agent_cb][skip:hard_money_dead][skip:next_month_as_ca] Do not fire if trigger is negated; agent-only cb:vm/cb na/call again rej; next month or hard/distant money without near plan → No Potential (not Call Again).,telegram_approved|conflict_i_when_not_to_use_2026-09-07
214,i never opened an account this is not me,Denied Registration,[skip:language_only][skip:bare_didnt_register] If only says never registered without denying identity,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
215,someone else registered with my number,Denied Registration,[skip:language_only][skip:bare_didnt_register] If only says never registered without denying identity,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
216,this is not me and i never registered,Denied Registration,[skip:language_only][skip:bare_didnt_register] If only says never registered without denying identity,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
217,not my account i never registered,Denied Registration,[skip:language_only][skip:bare_didnt_register] If only says never registered without denying identity,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
218,i did not sign up this is not me,Denied Registration,[skip:language_only][skip:bare_didnt_register] If only says never registered without denying identity,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
219,wrong person i never registered,Denied Registration,[skip:language_only][skip:bare_didnt_register] If only says never registered without denying identity,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
220,not my name i did not sign up,Denied Registration,[skip:language_only][skip:bare_didnt_register] If only says never registered without denying identity,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
221,all vendors wrong number,Wrong Number or Email,[skip:phone_alive] If customer is valid and only temporary unreachable,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
222,wrong number all vendors,Wrong Number or Email,[skip:phone_alive] If customer is valid and only temporary unreachable,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
223,dvm saying wrong number,Wrong Number or Email,[skip:phone_alive] If customer is valid and only temporary unreachable,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
224,number does not exist,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
225,not the right person,Denied Registration,[skip:language_only][skip:bare_didnt_register] If customer is valid and only temporary unreachable,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
226,wrong number used,Wrong Number or Email,[skip:phone_alive] If customer is valid and only temporary unreachable,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
227,number not exist,Wrong Number or Email,[skip:phone_alive] If customer is valid and only temporary unreachable,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
228,invalid number,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
229,invalid email,No Answer 1-5,[skip:agent_cb] If customer is valid and only temporary unreachable,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
230,not my number,Denied Registration,[skip:language_only][skip:bare_didnt_register] If customer is valid and only temporary unreachable,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
231,invalid mail,Denied Registration,[skip:language_only][skip:bare_didnt_register] If customer is valid and only temporary unreachable,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
232,not my email,Denied Registration,[skip:language_only][skip:bare_didnt_register] If customer is valid and only temporary unreachable,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
233,wrong number,Wrong Number or Email,[skip:phone_alive] Do not fire on agent-pasted status-only line without customer wrong-number claim context. Do not fire on bare status paste alone.,generated_from_data23_and_conversation|full700_prompt_audit|conflict_i_tag_backfill_2026-09-07
234,wrong person,Denied Registration,[skip:language_only][skip:bare_didnt_register] If customer is valid and only temporary unreachable,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
235,email wrong,Denied Registration,[skip:language_only][skip:bare_didnt_register] If customer is valid and only temporary unreachable,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
236,wrong email,Denied Registration,[skip:language_only][skip:bare_didnt_register] If customer is valid and only temporary unreachable,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
237,said no its not,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
238,my brother filled the form,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
239,said not me,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,manual_fix|conflict_i_when_not_to_use_2026-09-07
240,made no reg,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
241,thats not him,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
242,this is not my name,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
243,denied registration said,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
244,first denied registration,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
245,kept denying the registration,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
246,i didnt reg,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
247,i did not make any registration,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
248,i didint make any reg,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
249,denied the registration,Denied Registration,[skip:language_only][skip:bare_didnt_register] Require explicit denied registration claim in comments; do not keep Correct without claim.,telegram_approved|correct_audit_61|conflict_i_tag_backfill_2026-09-07
252,mauvais numéro utilisé,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
253,the number doesnt exist,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
254,not valid,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
255,the number is incorrect,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
256,not in service,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
257,his email was invalid,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
258,number out of service,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
259,no es gael garcia,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
260,number not in use,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
261,my number invalid for sg,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
262,number not in use,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
263,your call could not be connected,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
264,invalid phone number - crm,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
265,number not in use,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
266,number not in use,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
267,keep speaking chinese,No Language,"[skip:identity_denial] If customer denies being the registered person ('im not X', 'wrong person', 'not me') → Denied Registration (identity > language).",ai_output|conflict_i_when_not_to_use_2026-09-07
268,number not in use,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
269,number not in use,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
270,according to support number,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
271,cc bangladesh not sg,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
272,dvm number not in use,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
273,number is invalid,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
274,number is not in use,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
275,not a valid phone number,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
276,denied name and registration,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
277,not a valid phone number,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,ai_output|conflict_i_when_not_to_use_2026-09-07
278,that was not me,Denied Registration,[skip:language_only][skip:bare_didnt_register] Language barrier alone → No Language. Bare 'didnt register' without identity denial → Recall. no id/docs/bank → No Potential - no documents.,telegram_approved|conflict_i_when_not_to_use_2026-09-07
290,no documents or bank account,Invalid Country,[skip:negation] Do not fire when the trigger phrase is negated or used in a false sense in the full sentence.,ai_output|conflict_i_when_not_to_use_2026-09-07
291,cc my invalid for sg,Wrong Number or Email,[skip:phone_alive] Newest dialer ring/NA/VM/DVM/unreachable → keep No Answer. Bare 'Invalid email - CRM' alone is not enough when phone is alive.,ai_output|conflict_i_when_not_to_use_2026-09-07
292,pu hu after explanation,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
293,call got disconnected,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
294,busy in another call,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
295,pick up and hang up,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
296,not answering properly,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
297,call disconnected,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
298,hello hello hu,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
299,invalid sms,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
300,pu hello hu,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",generated_from_data23_and_conversation|conflict_i_when_not_to_use_2026-09-07
301,na - the number you've dialed is currently switched off,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
302,rejected - the number you have dialed is currently busy,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
303,this facility is not available on your number,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
304,directly number is not responding,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
305,distorted line cannot hear him,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
306,dıstorted lıne canot hear hım,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
307,after ringing call fwd to vm,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
308,distorted line cannot hear,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
309,na - number currently busy,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
310,now number is unavailable,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
311,ringing but not answering,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",ai_output|conflict_i_when_not_to_use_2026-09-07
312,number is not responding,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
313,unable to take your call,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
314,unable to receive calls,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
315,unable to accept calls,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
316,number currently busy,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
317,number is unavailable,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",ai_output|conflict_i_when_not_to_use_2026-09-07
318,ringing but rejecting,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",ai_output|conflict_i_when_not_to_use_2026-09-07
319,out of coverage area,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
320,ringing // rejecting,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
321,without ringing busy,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
322,3rd call/ringing na,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
323,4th call/ringing na,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
324,number switched off,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
325,silent then beeping,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
326,busy//rejection/na,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
327,no answer all slot,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
328,number unavailable,Wrong Number or Email,[skip:phone_alive] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
329,ringing but reject,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
330,v2 distorted rings,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
331,busy/rejection/na,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
332,direct voice mail,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
333,number is busy x2,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
334,ringing no answer,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
335,w/o ringing busy,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
336,long rings only,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
337,pick up hang up,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
338,number is busy,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",ai_output|conflict_i_when_not_to_use_2026-09-07
339,silent beeping,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
340,network error,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
341,rejected busy,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
342,rejected call,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
343,rejected/busy,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
344,ringing // na,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
345,ringing na 2x,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
346,rıngıng // na,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
347,beeping only,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",ai_output|conflict_i_when_not_to_use_2026-09-07
348,db all slots,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",ai_output|conflict_i_when_not_to_use_2026-09-07
349,dialer error,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
350,dialer issue,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
351,no answer 1-,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
352,switched off,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
353,swıtched off,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
354,call failed,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
355,db all slot,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
356,no answer 1,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
357,not ringing,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
358,number busy,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
359,ringing//na,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
360,no ringing,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
361,ringing na,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",ai_output|conflict_i_when_not_to_use_2026-09-07
362,ringing/na,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
363,voice mail,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
364,busy line,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
365,fwd to vm,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",ai_output|conflict_i_when_not_to_use_2026-09-07
366,no answer,No Answer 1-5,[skip:agent_cb] Bare status paste without dialer/hang-up evidence should not alone decide. Prefer na/vm/rej tokens + no conversation. Do not fire on bare status paste alone.,ai_output|full700_prompt_audit|conflict_i_tag_backfill_2026-09-07
367,voicemail,No Answer 1-5,[skip:agent_cb] If meaningful customer intent exists in same/latest evidence,generated_from_data23_and_conversation|conflict_i_tag_backfill_2026-09-07
368,dvm cnbr,No Answer 1-5,"[skip:agent_cb] Do not upgrade to Call Again from agent redial notes alone (cb:vm, cb na, call again rej).",ai_output|conflict_i_when_not_to_use_2026-09-07
